Cód. Município,Qtde Municípios,Nome do Município,UF,Número e Ano,Categoria,Qtde de Papéis,Papel do Estado,Classificação da instituição do AMI
3524006,1,ITUPEVA,SP,428 / 2017,Lei de inovação,1,Facilitador,Instituição de politica de inovação
3530607,1,MOGI DAS CRUZES,SP,7441 / 2019,Lei de inovação,1,Facilitador,Instituição de outras ações
3538709,1,PIRACICABA,SP,43739 / 2019,Lei de inovação,1,Facilitador,Resolução de inovação
3547304,1,SANTANA DE PARNAIBA,SP,4414 / 2020,Decreto de inovação,1,Facilitador,Decreto de inovação
3549904,1,SAO JOSE DOS CAMPOS,SP,9563 / 2017,Lei de inovação,1,Facilitador,Instituição de incentivos à inovação
3552205,1,SOROCABA,SP,12500 / 2022,Lei de inovação,1,Facilitador,Instituição de incentivos à CT&I
4101002,1,AMPERE,PR,1546 / 2013,Lei de inovação,1,Facilitador,Instituição de incentivos à inovação e pesquisa
4104907,1,CASTRO,PR,3876 / 2021,Lei de inovação,1,Facilitador,Instituição de incentivos educacionais à inovação
4106407,1,Cornelio Procopio,PR,140 / 2021,Lei de inovação,1,Facilitador,Instituição de incentivos à PD&I
4108403,1,FRANCISCO BELTRAO,PR,4028 / 2012,Lei de inovação,1,Facilitador,Instituição de incentivos à inovação e pesquisa
4113700,1,LONDRINA,PR,12638 / 2017,Projeto de LMI,1,Facilitador,Instituição de incentivos à inovação e pesquisa
4114609,1,MARECHAL CANDIDO RONDON,PR,5154 / 2019,Lei de inovação,1,Facilitador,Instituição de incentivos educacionais à inovação
4127403,1,TERRA ROXA,PR,1837 / 2020,Lei de inovação,1,Facilitador,Instituição de incentivos educacionais à inovação
4127965,1,TURVO,PR,54 / 2020,Lei de inovação,1,Facilitador,Instituição de incentivos educacionais à inovação
4128104,1,UMUARAMA,PR,4440 / 2020,Lei de inovação,1,Facilitador,Instituição de incentivos educacionais à inovação
4207908,1,IRINEOPOLIS,SC,2136 / 2021,Lei de inovação,1,Facilitador,Instituição de politica de inovação
4209102,1,JOINVILLE,SC,7305 / 2012,Lei de estimulo à inovação,1,Facilitador,Instituição de politica de desenvolvimento econômico
4210035,1,LUZERNA,SC,1653 / 2019,Lei de inovação,1,Facilitador,Instituição de escritório virtual ou coworking
4216354,1,SAO JOAO DO ITAPERIU,SC,872 / 2016,Lei de inovação,1,Facilitador,Instituição de escritório virtual ou coworking
4218707,1,TUBARAO,SC,253 / 2020,Lei de inovação,1,Facilitador,Instituição de politica de CT&I com instrumentos básicos
4305108,1,CAXIAS DO SUL,RS,21934 / 2022,Decreto de inovação,1,Facilitador,Decreto de inovação
4307906,1,FARROUPILHA,RS,4538 / 2019,Lei de inovação,1,Facilitador,Instituição de politica de desenvolvimento econômico
4308201,1,FLORES DA CUNHA,RS,9721 / 2017,Projeto de LMI,1,Facilitador,Instituição de incentivos à inovação
4308508,1,FREDERICO WESTPHALEN,RS,4723 / 2019,Lei de inovação,1,Facilitador,Instituição de escritório virtual ou coworking
4310801,1,IVOTI,RS,3202 / 2018,Lei de inovação,1,Facilitador,Instituição de escritório virtual ou coworking
4313300,1,NOVA PRATA,RS,9886 / 2017,Lei de inovação,1,Facilitador,Instituição de incentivos básicos à inovação
4314902,1,PORTO ALEGRE,RS,21081 / 2021,Decreto de inovação,1,Facilitador,Decreto de inovação
4320008,1,SAPUCAIA DO SUL,RS,3888 / 2018,Lei de inovação,1,Facilitador,Instituição de escritório virtual ou coworking
5105259,1,LUCAS DO RIO VERDE,MT,2859 / 2018,Lei de inovação,1,Facilitador,Instituição de politica de CT&I com instrumentos básicos
5105259,1,LUCAS DO RIO VERDE,MT,2860 / 2018,Lei de inovação,1,Facilitador,Instituição de fundo municipal de incentivos à inovação
5201405,1,APARECIDA DE GOIANIA,GO,3405 / 2018,Lei de inovação,1,Facilitador,Instituição de incentivos à inovação
1702554,1,Augustinopolis,TO,725 / 2020,Lei de estimulo à inovação,1,Facilitador de engajamento social,Instituição da semana de CT&I
1721000,1,PALMAS,TO,2329 / 2017,Lei de inovação,1,Facilitador de engajamento social,Instituição de feira de estimulo à inovação
2610707,1,Paulista,PE,4740 / 2017,Lei de estimulo à inovação,1,Facilitador de engajamento social,Instituição da semana de CT&I
2611606,1,RECIFE,PE,30299 / 2017,Decreto de inovação,1,Facilitador de engajamento social,Decreto de inovação
2800308,1,ARACAJU,SE,2584 / 1998,Lei de inovação,1,Facilitador de engajamento social,Instituição de conselho de CT&I para deliberações diversas
2910800,1,FEIRA DE SANTANA,BA,3905 / 2018,Lei de estimulo à inovação,1,Facilitador de engajamento social,Instituição de comemorações de estimulo à inovação
2910800,1,FEIRA DE SANTANA,BA,3934 / 2019,Lei de inovação,1,Facilitador de engajamento social,Instituição de politica de tecnologia da informação
2912301,1,Ibicui,BA,149 / 2022,Lei de inovação,1,Facilitador de engajamento social,Instituição de conselho de CT&I para deliberações diversas
2927408,1,SALVADOR,BA,29037 / 2017,Decreto de inovação,1,Facilitador de engajamento social,Decreto de inovação
2927408,1,SALVADOR,BA,30130 / 2018,Decreto de inovação,1,Facilitador de engajamento social,Decreto de inovação
2927408,1,SALVADOR,BA,33599 / 2021,Decreto de inovação,1,Facilitador de engajamento social,Decreto de inovação
2927408,1,SALVADOR,BA,33748 / 2021,Decreto de inovação,1,Facilitador de engajamento social,Decreto de inovação
2927408,1,SALVADOR,BA,33800 / 2021,Decreto de inovação,1,Facilitador de engajamento social,Decreto de inovação
2927408,1,SALVADOR,BA,34650 / 2021,Decreto de inovação,1,Facilitador de engajamento social,Decreto de inovação
3106200,1,Belo Horizonte,MG,8264 / 2001,Lei de inovação,1,Facilitador de engajamento social,Instituição de conselho de PD&I
3132404,1,ITAJUBA,MG,3211 / 2017,Lei de inovação,1,Facilitador de engajamento social,Instituição de feriados de estimulo à inovação
3132404,1,ITAJUBA,MG,3374 / 2020,Lei de estimulo à inovação,1,Facilitador de engajamento social,Instituição de comemorações de estimulo à inovação
3136702,1,JUIZ DE FORA,MG,13734 / 2018,Lei de inovação,1,Facilitador de engajamento social,Instituição de conselho de CT&I para deliberações diversas
3205309,1,VITORIA,ES,8417 / 2013,Lei de inovação,1,Facilitador de engajamento social,Instituição de conselho de CT&I para deliberações diversas
3301702,1,DUQUE DE CAXIAS,RJ,2393 / 2011,Lei de inovação,1,Facilitador de engajamento social,Instituição de conselho de CT&I para deliberações diversas
3303302,1,NITEROI,RJ,2502 / 2007,Lei de inovação,1,Facilitador de engajamento social,Instituição de conselho de CT&I para deliberações diversas
3304904,1,SÃO GONÇALO,RJ,62 / 2007,Lei de inovação,1,Facilitador de engajamento social,Instituição de conselho de CT&I para deliberações diversas
3502804,1,ARACATUBA,SP,16993 / 2013,Decreto de inovação,1,Facilitador de engajamento social,Decreto de inovação
3502804,1,ARACATUBA,SP,18287 / 2015,Decreto de inovação,1,Facilitador de engajamento social,Decreto de inovação
3502804,1,ARACATUBA,SP,18911 / 2016,Decreto de inovação,1,Facilitador de engajamento social,Decreto de inovação
3502804,1,ARACATUBA,SP,19829 / 2018,Decreto de inovação,1,Facilitador de engajamento social,Decreto de inovação
3502804,1,ARACATUBA,SP,7284 / 2010,Lei de inovação,1,Facilitador de engajamento social,Instituição de conselho de CT&I para deliberações diversas
3502804,1,ARACATUBA,SP,7306 / 2010,Lei de inovação,1,Facilitador de engajamento social,Instituição de conselho de CT&I para deliberações diversas
3503208,1,ARARAQUARA,SP,8881 / 2017,Lei de estimulo à inovação,1,Facilitador de engajamento social,Instituição de comemorações de estimulo à inovação
3503208,1,ARARAQUARA,SP,9500 / 2019,Lei de inovação,1,Facilitador de engajamento social,Instituição de politica de inovação
3503208,1,ARARAQUARA,SP,9962 / 2020,Lei de estimulo à inovação,1,Facilitador de engajamento social,Instituição de comemorações de estimulo à inovação
3505500,1,BARRETOS,SP,5874 / 2020,Lei de inovação,1,Facilitador de engajamento social,Instituição de conselho de inovação
3507506,1,BOTUCATU,SP,6030 / 2018,Lei de inovação,1,Facilitador de engajamento social,Instituição de feriados de estimulo à inovação
3509502,1,CAMPINAS,SP,14739 / 2013,Lei de inovação,1,Facilitador de engajamento social,Instituição de conselho de CT&I para deliberações diversas
3520442,1,ILHA SOLTEIRA,SP,151 / 2008,Lei de inovação,1,Facilitador de engajamento social,Instituição de politica de inovação
3529005,1,Marilia,SP,8818 / 2022,Lei de inovação,1,Facilitador de engajamento social,Instituição de conselho de CT&I para deliberações diversas
3530805,1,MOGI MIRIM,SP,6319 / 2021,Lei de estimulo à inovação,1,Facilitador de engajamento social,Instituição de comemorações de estimulo à inovação
3537602,1,PERUIBE,SP,3528 / 2017,Lei de inovação,1,Facilitador de engajamento social,Instituição de conselho de CT&I para deliberações diversas
3537602,1,PERUIBE,SP,3660 / 2018,Lei de estimulo à inovação,1,Facilitador de engajamento social,Instituição de comemorações de estimulo à inovação
3538709,1,PIRACICABA,SP,9643 / 2021,Lei de inovação,1,Facilitador de engajamento social,Instituição de conselho de CT&I para deliberações diversas
3538709,1,PIRACICABA,SP,9736 / 2022,Lei de estimulo à inovação,1,Facilitador de engajamento social,Instituição de comemorações de estimulo à inovação
3541406,1,PRESIDENTE PRUDENTE,SP,26809 / 2016,Decreto de inovação,1,Facilitador de engajamento social,Decreto de inovação
3547304,1,SANTANA DE PARNAIBA,SP,3948 / 2021,Lei de inovação,1,Facilitador de engajamento social,Instituição de conselho de CT&I para deliberações diversas
3549805,1,SAO JOSE DO RIO PRETO,SP,548 / 2017,Lei de inovação,1,Facilitador de engajamento social,Instituição de arranjos promotores de inovação
3550308,1,SAO PAULO,SP,15247 / 2010,Lei de inovação,1,Facilitador de engajamento social,Instituição de conselho de CT&I para deliberações diversas
3550308,1,SAO PAULO,SP,15838 / 2013,Lei de inovação,1,Facilitador de engajamento social,Instituição de incentivos à inovação
3550308,1,SAO PAULO,SP,54837 / 2014,Decreto de inovação,1,Facilitador de engajamento social,Decreto de inovação
3552205,1,SOROCABA,SP,23836 / 2018,Decreto de inovação,1,Facilitador de engajamento social,Decreto de inovação
3552205,1,SOROCABA,SP,24268 / 2018,Decreto de inovação,1,Facilitador de engajamento social,Decreto de inovação
3552205,1,SOROCABA,SP,24830 / 2019,Decreto de inovação,1,Facilitador de engajamento social,Decreto de inovação
3552205,1,SOROCABA,SP,25635 / 2020,Decreto de inovação,1,Facilitador de engajamento social,Decreto de inovação
3552205,1,SOROCABA,SP,26460 / 2021,Decreto de inovação,1,Facilitador de engajamento social,Decreto de inovação
3554003,1,Tatui,SP,5663 / 2022,Lei de estimulo à inovação,1,Facilitador de engajamento social,Instituição de comemorações de estimulo à inovação
3556206,1,VALINHOS,SP,5759 / 2018,Lei de estimulo à inovação,1,Facilitador de engajamento social,Instituição de comemorações de estimulo à inovação
4104808,1,CASCAVEL,PR,106 / 2019,Lei de inovação,1,Facilitador de engajamento social,Instituição de incentivos à inovação e pesquisa
4104808,1,CASCAVEL,PR,6966 / 2019,Lei de inovação,1,Facilitador de engajamento social,Instituição de feira de estimulo à inovação
4106407,1,Cornelio Procopio,PR,139 / 2021,Lei de inovação,1,Facilitador de engajamento social,Instituição de conselho de inovação
4108304,1,FOZ DO IGUACU,PR,26745 / 2018,Decreto de inovação,1,Facilitador de engajamento social,Decreto de inovação
4108304,1,FOZ DO IGUACU,PR,27201 / 2019,Decreto de inovação,1,Facilitador de engajamento social,Decreto de inovação
4108304,1,FOZ DO IGUACU,PR,27514 / 2019,Decreto de inovação,1,Facilitador de engajamento social,Decreto de inovação
4108304,1,FOZ DO IGUACU,PR,28244 / 2020,Decreto de inovação,1,Facilitador de engajamento social,Decreto de inovação
4108304,1,FOZ DO IGUACU,PR,283 / 2017,Lei de inovação,1,Facilitador de engajamento social,Instituição de incentivos à inovação
4108304,1,FOZ DO IGUACU,PR,28573 / 2020,Decreto de inovação,1,Facilitador de engajamento social,Decreto de inovação
4108304,1,FOZ DO IGUACU,PR,28576 / 2020,Decreto de inovação,1,Facilitador de engajamento social,Decreto de inovação
4108304,1,FOZ DO IGUACU,PR,30160 / 2022,Decreto de inovação,1,Facilitador de engajamento social,Decreto de inovação
4108403,1,FRANCISCO BELTRAO,PR,4728 / 2019,Lei de inovação,1,Facilitador de engajamento social,Instituição de incentivos à inovação e pesquisa
4114203,1,MANDAGUARI,PR,548 / 2020,Decreto de inovação,1,Facilitador de engajamento social,Decreto de inovação
4201406,1,ARARANGUA,SC,328 / 2021,Lei de inovação,1,Facilitador de engajamento social,Instituição de conselho de CT&I para deliberações diversas
4201406,1,ARARANGUA,SC,9992 / 2021,Decreto de inovação,1,Facilitador de engajamento social,Decreto de inovação
4202008,1,BALNEARIO CAMBORIU,SC,4176 / 2018,Lei de inovação,1,Facilitador de engajamento social,Instituição de outras ações
4202404,1,BLUMENAU,SC,12990 / 2021,Decreto de inovação,1,Facilitador de engajamento social,Instituição de incentivos fiscais à inovação
4202404,1,BLUMENAU,SC,1354 / 2021,Lei de inovação,1,Facilitador de engajamento social,Instituição de conselho de CT&I para deliberações diversas
4202404,1,BLUMENAU,SC,666 / 2007,Lei de inovação,1,Facilitador de engajamento social,Instituição de conselho de CT&I para deliberações diversas
4204202,1,CHAPECO,SC,30104 / 2014,Decreto de inovação,1,Facilitador de engajamento social,Decreto de inovação
4204202,1,CHAPECO,SC,37340 / 2019,Decreto de inovação,1,Facilitador de engajamento social,Decreto de inovação
4204202,1,CHAPECO,SC,38785 / 2020,Decreto de inovação,1,Facilitador de engajamento social,Decreto de inovação
4204202,1,CHAPECO,SC,40555 / 2021,Decreto de inovação,1,Facilitador de engajamento social,Decreto de inovação
4204301,1,CONCORDIA,SC,6394 / 2019,Decreto de inovação,1,Facilitador de engajamento social,Decreto de inovação
4205407,1,FLORIANOPOLIS,SC,17485 / 2017,Decreto de inovação,1,Facilitador de engajamento social,Decreto de inovação
4205407,1,FLORIANOPOLIS,SC,21318 / 2020,Decreto de inovação,1,Facilitador de engajamento social,Decreto de inovação
4205407,1,FLORIANOPOLIS,SC,22723 / 2021,Decreto de inovação,1,Facilitador de engajamento social,Decreto de inovação
4207908,1,IRINEOPOLIS,SC,2137 / 2021,Lei de inovação,1,Facilitador de engajamento social,Instituição de conselho de CT&I para deliberações diversas
4208906,1,JARAGUA DO SUL,SC,1 / 2021,Portaria de inovação,1,Facilitador de engajamento social,Portaria de inovação
4208906,1,JARAGUA DO SUL,SC,16088 / 2022,Decreto de inovação,1,Facilitador de engajamento social,Decreto de inovação
4209003,1,JOACABA,SC,5706 / 2019,Decreto de inovação,1,Facilitador de engajamento social,Decreto de inovação
4209102,1,JOINVILLE,SC,7190 / 2012,Lei de inovação,1,Facilitador de engajamento social,Instituição de conselho de CT&I para deliberações diversas
4214805,1,RIO DO SUL,SC,5068 / 2010,Lei de estimulo à inovação,1,Facilitador de engajamento social,Instituição de comemorações de estimulo à inovação
4214805,1,RIO DO SUL,SC,5534 / 2014,Lei de inovação,1,Facilitador de engajamento social,Instituição de outras ações
4215802,1,SAO BENTO DO SUL,SC,2013 / 2020,Decreto de inovação,1,Facilitador de engajamento social,Decreto de inovação
4216602,1,São José,SC,5863 / 2020,Lei de estimulo à inovação,1,Facilitador de engajamento social,Instituição de comemorações de estimulo à inovação
4218707,1,TUBARAO,SC,4259 / 2018,Decreto de inovação,1,Facilitador de engajamento social,Instituição de politica de CT&I com instrumentos básicos
4218707,1,TUBARAO,SC,4980 / 2018,Lei de inovação,1,Facilitador de engajamento social,Instituição de comemorações de estimulo à inovação
4300877,1,ARARICA,RS,1422 / 2018,Lei de estimulo à inovação,1,Facilitador de engajamento social,Instituição de feira de estimulo à inovação
4309555,1,harmonia,RS,3 / 2021,Lei de inovação,1,Facilitador de engajamento social,Instituição de conselho de CT&I para deliberações diversas
4310207,1,IJUI,RS,7062 / 2021,Lei de estimulo à inovação,1,Facilitador de engajamento social,Instituição de comemorações de estimulo à inovação
4312609,1,MUCUM,RS,3858 / 2018,Lei de estimulo à inovação,1,Facilitador de engajamento social,Instituição de comemorações de estimulo à inovação
4314407,1,PELOTAS,RS,5837 / 2011,Lei de inovação,1,Facilitador de engajamento social,Instituição de conselho de CT&I para deliberações diversas
4314902,1,PORTO ALEGRE,RS,10705 / 2009,Lei de inovação,1,Facilitador de engajamento social,Instituição de conselho de CT&I para deliberações diversas
4314902,1,PORTO ALEGRE,RS,367 / 1996,Lei de inovação,1,Facilitador de engajamento social,Instituição de conselho de CT&I para deliberações diversas
4314902,1,PORTO ALEGRE,RS,604 / 2008,Lei de inovação,1,Facilitador de engajamento social,Instituição de conselho de CT&I para deliberações diversas
4315602,1,RIO GRANDE,RS,15577 / 2018,Decreto de inovação,1,Facilitador de engajamento social,Decreto de inovação
4315602,1,RIO GRANDE,RS,16424 / 2019,Decreto de inovação,1,Facilitador de engajamento social,Decreto de inovação
4315602,1,RIO GRANDE,RS,18110 / 2021,Decreto de inovação,1,Facilitador de engajamento social,Decreto de inovação
4315602,1,RIO GRANDE,RS,7042 / 2011,Lei de inovação,1,Facilitador de engajamento social,Instituição de conselho de CT&I para deliberações diversas
4315602,1,RIO GRANDE,RS,7127 / 2011,Lei de inovação,1,Facilitador de engajamento social,Instituição de conselho de CT&I para deliberações diversas
4315602,1,RIO GRANDE,RS,7746 / 2014,Lei de estimulo à inovação,1,Facilitador de engajamento social,Instituição de comemorações de estimulo à inovação
4316907,1,SANTA MARIA,RS,5306 / 2010,Lei de inovação,1,Facilitador de engajamento social,Instituição de incentivos à inovação
4317509,1,SANTO ANGELO,RS,4195 / 2017,Lei de inovação,1,Facilitador de engajamento social,Instituição de politica de CT&I com instrumentos básicos
4317608,1,SANTO ANTONIO DA PATRULHA,RS,9152 / 2022,Lei de inovação,1,Facilitador de engajamento social,Instituição de conselho de CT&I para deliberações diversas
5107602,1,RONDONOPOLIS,MT,10875 / 2020,Lei de inovação,1,Facilitador de engajamento social,Instituição de conselho de CT&I para deliberações diversas
5107602,1,RONDONOPOLIS,MT,11776 / 2021,Lei de inovação,1,Facilitador de engajamento social,Instituição de conselho de CT&I para deliberações diversas
5201405,1,APARECIDA DE GOIANIA,GO,3643 / 2022,Lei de estimulo à inovação,1,Facilitador de engajamento social,Instituição de comemorações de estimulo à inovação
5208707,1,GOIANIA,GO,10071 / 2017,Lei de estimulo à inovação,1,Facilitador de engajamento social,Instituição de comemorações de estimulo à inovação
5208707,1,GOIANIA,GO,10257 / 2018,Lei de inovação,1,Facilitador de engajamento social,Instituição de incentivos à inovação e pesquisa
1100189,1,PIMENTA BUENO,RO,1670 / 2011,Lei de estimulo à inovação,1,Fiador,Instituição de tratamento diferenciado a empresas de inovação
1100205,1,PORTO VELHO,RO,739 / 2018,Lei de estimulo à inovação,1,Fiador,Instituição de tratamento diferenciado a empresas de inovação
1100338,1,NOVA MAMORE,RO,840 / 2011,Lei de estimulo à inovação,1,Fiador,Instituição de tratamento diferenciado a empresas de inovação
1200401,1,RIO BRANCO,AC,1890 / 2012,Lei de estimulo à inovação,1,Fiador,Instituição de tratamento diferenciado a empresas de inovação
1200401,1,RIO BRANCO,AC,2159 / 2015,Lei de estimulo à inovação,1,Fiador,Instituição de tratamento diferenciado a empresas de inovação
1302603,1,MANAUS,AM,2381 / 2018,Lei de inovação,1,Fiador,Instituição de fundo municipal de incentivos à inovação
1302603,1,MANAUS,AM,2476 / 2019,Lei de inovação,1,Fiador,Instituição de fundo municipal de incentivos à inovação
1302603,1,MANAUS,AM,2565 / 2019,Lei de inovação,1,Fiador,Instituição de incentivos fiscais à inovação
1503093,1,GOIANÉSIA,GO,2627 / 2008,Lei de estimulo à inovação,1,Fiador,Instituição de tratamento diferenciado a empresas de inovação
1714203,1,NATIVIDADE,TO,264 / 2003,Lei de inovação,1,Fiador,Instituição de fundo municipal de incentivos à inovação
1721000,1,PALMAS,TO,2024 / 2014,Lei de inovação,1,Fiador,Instituição de fundo municipal de incentivos à inovação
1721000,1,PALMAS,TO,2430 / 2018,Lei de inovação,1,Fiador,Instituição de fundo municipal de incentivos à inovação
2111300,1,SAO LUIS,MA,4830 / 2007,Lei de estimulo à inovação,1,Fiador,Instituição de tratamento diferenciado a empresas de inovação
2203909,1,FLORIANO,PI,451 / 2008,Lei de estimulo à inovação,1,Fiador,Instituição de tratamento diferenciado a empresas de inovação
2207702,1,PARNAIBA,PI,2579 / 2010,Lei de estimulo à inovação,1,Fiador,Instituição de tratamento diferenciado a empresas de inovação
2207777,1,PATOS,PB,4884 / 2017,Lei de estimulo à inovação,1,Fiador,Instituição de tratamento diferenciado a empresas de inovação
2301109,1,ARACATI,CE,216 / 2007,Lei de estimulo à inovação,1,Fiador,Instituição de tratamento diferenciado a empresas de inovação
2301208,1,ARACOIABA,CE,1116 / 2013,Lei de estimulo à inovação,1,Fiador,Instituição de tratamento diferenciado a empresas de inovação
2304400,1,FORTALEZA,CE,10350 / 2015,Lei de estimulo à inovação,1,Fiador,Instituição de tratamento diferenciado a empresas de inovação
2312908,1,SOBRAL,CE,34 / 2010,Lei de estimulo à inovação,1,Fiador,Instituição de tratamento diferenciado a empresas de inovação
2408102,1,NATAL,RN,11368 / 2017,Decreto de inovação,1,Fiador,Instituição de incentivos fiscais à inovação
2408102,1,NATAL,RN,167 / 2017,Lei de inovação,1,Fiador,Instituição de incentivos fiscais à inovação
2507507,1,JOAO PESSOA,PB,13546 / 2017,Lei de inovação,1,Fiador,Instituição de arranjos promotores de inovação
2607901,1,JABOATAO DOS GUARARAPES,PE,400 / 2010,Lei de estimulo à inovação,1,Fiador,Instituição de tratamento diferenciado a empresas de inovação
2611101,1,PETROLINA,PE,2337 / 2010,Lei de estimulo à inovação,1,Fiador,Instituição de tratamento diferenciado a empresas de inovação
2611606,1,RECIFE,PE,18092 / 2014,Lei de inovação,1,Fiador,Instituição de fundo municipal de incentivos à inovação
2613701,1,SÃO LOURENÇO DA MATA,PE,2321 / 2010,Lei de estimulo à inovação,1,Fiador,Instituição de tratamento diferenciado a empresas
2613701,1,SÃO LOURENÇO DA MATA,PE,2710 / 2019,Lei de estimulo à inovação,1,Fiador,Instituição de tratamento diferenciado a empresas
2900801,1,ALCOBACA,BA,670 / 2010,Lei de estimulo à inovação,1,Fiador,Instituição de tratamento diferenciado a empresas de inovação
2901007,1,AMARGOSA,BA,329 / 2010,Lei de estimulo à inovação,1,Fiador,Instituição de tratamento diferenciado a empresas de inovação
2918001,1,JEQUIE,BA,1756 / 2007,Lei de estimulo à inovação,1,Fiador,Instituição de tratamento diferenciado a empresas de inovação
2919207,1,LAURO DE FREITAS,BA,1268 / 2017,Lei de estimulo à inovação,1,Fiador,Instituição de tratamento diferenciado a empresas de inovação
2921500,1,MONTE SANTO,BA,15 / 2010,Lei de estimulo à inovação,1,Fiador,Instituição de tratamento diferenciado a empresas de inovação
2926608,1,RIBEIRAO BRANCO,SP,30 / 2011,Lei de estimulo à inovação,1,Fiador,Instituição de tratamento diferenciado a empresas de inovação
2927408,1,SALVADOR,BA,34015 / 2021,Decreto de inovação,1,Fiador,Decreto de inovação
2927408,1,SALVADOR,BA,35259 / 2022,Decreto de inovação,1,Fiador,Decreto de inovação
2927408,1,SALVADOR,BA,6899 / 2005,Lei de inovação,1,Fiador,Instituição de fundo municipal de incentivos à inovação
2927408,1,SALVADOR,BA,8962 / 2015,Lei de inovação,1,Fiador,Instituição de incentivos fiscais à inovação
3101508,1,ALEM PARAIBA,MG,2909 / 2011,Lei de estimulo à inovação,1,Fiador,Instituição de tratamento diferenciado a empresas de inovação
3105400,1,BARAO DE COCAIS,MG,1706 / 2014,Lei de estimulo à inovação,1,Fiador,Instituição de tratamento diferenciado a empresas de inovação
3106705,1,BETIM,MG,4977 / 2010,Lei de estimulo à inovação,1,Fiador,Instituição de tratamento diferenciado a empresas de inovação
3110509,1,CAMANDUCAIA,MG,37 / 2010,Lei de estimulo à inovação,1,Fiador,Instituição de tratamento diferenciado a empresas de inovação
3113404,1,CARATINGA,MG,3125 / 2009,Lei de estimulo à inovação,1,Fiador,Instituição de tratamento diferenciado a empresas de inovação
3115359,1,CATAS ALTAS,MG,319 / 2010,Lei de estimulo à inovação,1,Fiador,Instituição de tratamento diferenciado a empresas de inovação
3116605,1,CLAUDIO,MG,36 / 2011,Lei de estimulo à inovação,1,Fiador,Instituição de tratamento diferenciado a empresas de inovação
3117504,1,CONCEICAO DO MATO DENTRO,MG,2211 / 2018,Lei de estimulo à inovação,1,Fiador,Instituição de tratamento diferenciado a empresas de inovação
3122306,1,DIVINOPOLIS,MG,149 / 2009,Lei de estimulo à inovação,1,Fiador,Instituição de tratamento diferenciado a empresas de inovação
3126109,1,FORMIGA,MG,2408 / 2018,Lei de inovação,1,Fiador,Instituição do ecossistema robusto
3128709,1,GUAXUPE,MG,2070 / 2011,Lei de estimulo à inovação,1,Fiador,Instituição de tratamento diferenciado a empresas de inovação
3130101,1,IGARAPE,MG,31 / 2010,Lei de estimulo à inovação,1,Fiador,Instituição de tratamento diferenciado a empresas de inovação
3134400,1,ITU,SP,833 / 2007,Lei de estimulo à inovação,1,Fiador,Instituição de tratamento diferenciado a empresas de inovação
3140704,1,MATEUS LEME,MG,37 / 2010,Lei de estimulo à inovação,1,Fiador,Instituição de tratamento diferenciado a empresas de inovação
3143302,1,MONTES CLAROS,MG,23 / 2021,Projeto de LMI,1,Fiador,Instituição de fundo municipal de incentivos à inovação
3144607,1,NEPOMUCENO,MG,96 / 2010,Lei de estimulo à inovação,1,Fiador,Instituição de tratamento diferenciado a empresas de inovação
3145901,1,OURO BRANCO,MG,14 / 2021,Projeto de LMI,1,Fiador,Instituição de fundo municipal de incentivos à inovação
